time,temperature_2m_min,temperature_2m_max,temperature_2m_mean,precipitation_sum,windspeed_10m_max,windgusts_10m_max,weathercode,shortwave_radiation_sum
2022-07-27,19.560583,27.20185,22.727043,2.3369722,25.396818,51.088787,52.833668,17.614206
2022-07-28,19.560583,27.20185,22.75766,1.9437618,25.396818,51.088787,52.833668,17.696842
2022-07-29,19.560583,27.20185,22.75766,1.9437618,25.396818,51.088787,52.833668,17.696842
2022-07-30,19.532772,27.180063,22.736773,1.9437618,25.516304,51.322815,52.833668,17.696842
2022-07-31,19.532772,27.153961,22.736773,1.6307988,25.234835,52.172237,52.833668,18.037924
2022-08-01,19.532772,27.153961,22.736773,1.8497114,26.53828,51.55555,50.815804,18.037924
2022-08-02,19.532772,27.153961,22.736773,1.8497114,26.53828,51.55555,50.815804,18.037924
2022-08-03,19.54977,27.094028,22.715826,2.8153121,26.767931,51.37204,51.78841,17.805164
2022-08-04,19.618683,27.094028,22.723385,3.659305,27.008865,51.535915,54.2106,17.607183
2022-08-05,19.618683,27.094028,22.723385,3.659305,27.008865,51.535915,54.2106,17.607183
2022-08-06,19.64805,27.094028,22.723385,3.659305,26.930586,52.46809,54.39245,17.76635
2022-08-07,19.770926,27.129625,22.718485,3.659305,23.482634,48.975666,54.39245,17.76635
2022-08-08,19.770926,27.129625,22.758318,3.5896835,18.773985,36.94214,54.935158,17.286913
2022-08-09,19.770926,27.129625,22.758318,3.5896835,18.773985,36.94214,54.935158,17.286913
2022-08-10,19.749956,26.954268,22.485197,6.0340996,19.66769,38.858467,54.935158,16.981028
2022-08-11,19.621046,26.954268,22.485197,5.9707584,20.855665,41.708637,54.935158,16.981028
2022-08-12,19.621046,26.954268,22.485197,5.9707584,20.855665,41.708637,54.935158,16.981028
2022-08-13,19.565144,26.954268,22.436544,4.4810576,20.855665,41.287933,53.7465,16.981028
2022-08-14,19.472887,26.788504,22.510406,3.2859294,20.487894,40.876236,52.856846,16.710842
2022-08-15,19.472887,26.788504,22.510406,3.2859294,20.487894,40.876236,52.856846,16.710842
2022-08-16,19.519802,26.788504,22.468847,3.086636,20.055517,40.633125,55.669487,15.54565
2022-08-17,19.519802,26.681553,22.468847,3.2656038,19.892174,40.403687,55.669487,15.115675
2022-08-18,19.519802,26.8552,22.499369,3.7375681,20.020475,40.010834,55.669487,16.181921
2022-08-19,19.519802,26.8552,22.499369,3.7375681,20.020475,40.010834,55.669487,16.181921
2022-08-20,19.462038,26.92479,22.499369,3.8100743,14.931541,32.37561,55.13173,17.271122
2022-08-21,19.462038,26.92479,22.499369,8.079956,12.885902,25.509447,55.13173,17.271122
2022-08-22,19.462038,26.92479,22.499369,8.079956,12.885902,25.509447,55.13173,17.271122
2022-08-23,19.462038,26.957006,22.499369,8.10838,13.64028,24.655901,56.57936,17.97055
2022-08-24,19.462038,26.949253,22.571888,7.1691833,13.64028,25.255526,53.45188,17.97055
2022-08-25,19.462038,26.949253,22.571888,7.1691833,13.64028,25.255526,53.45188,17.97055
2022-08-26,19.580606,26.944098,22.571888,7.1691833,15.685299,30.772047,52.172016,17.97055
